Document_ID	Grade	essay
6_A1_6levels_p7	A1	في عطلة نهاية الأسبوع، أحب الذهاب إلى الحديقة. الحديقة هادئة ومريحة. أستمتع بالمشي على العشب الأخضر. أشعر بالسعادة عندما أرى الزهور الجميلة. الأزهار لها ألوان رائعة مثل الأحمر والأصفر. أحيانًا أصطحب كتابًا معي. القراءة تحت الشجرة ممتعة جدًا. أصدقائي يأتون معي. نحن نلعب كرة القدم هناك. اللعب مع الأصدقاء ممتع ومثير. الهواء النقي يجعلني أشعر بالنشاط. في بعض الأحيان، نأخذ معنا سلة طعام صغيرة. نأكل السندويشات ونشرب العصير الطازج. بعد يوم طويل، نعود للمنزل ونحن سعداء. الحديقة مكان رائع للاسترخاء. أحب قضاء وقتي هناك.
6_A2_6levels_p7	A2	أنا أحب قضاء عطلة نهاية الأسبوع في الحديقة. الجو جميل والهواء نقي. أستمتع بالمشي بين الأشجار الخضراء. أشعر بالراحة والهدوء عندما أسمع صوت الطيور العذبة. في بعض الأحيان، ألتقي بأصدقائي هناك. نحن نلعب ألعابًا مختلفة مثل كرة القدم. إنها لعبة ممتعة ونشطة. أصدقائي طيبون ومرحون، ونضحك كثيرًا. بعد اللعب، نحب أن نجلس على العشب الأخضر ونتبادل الأحاديث. نتحدث عن المدرسة والحياة وكل ما هو جديد ومثير. في النهاية، أعود إلى المنزل وأنا سعيد ونشيط. أشعر أنني قد قضيت وقتًا ممتعًا ومفيدًا. هذه الأنشطة تجعل عطلة نهاية الأسبوع مميزة ومريحة. أحب أن أستمر في القيام بهذه الأنشطة لأنها تعطي لحياتي توازنًا رائعًا.
7_A1_6levels_p7	A1	في بلدي، يعتبر يوم الاستقلال حدثًا تاريخيًا مهمًا. في هذا اليوم، استعاد الشعب حريته. كان الناس سعداء وفخورين بهذا الإنجاز العظيم. القادة الشجعان عملوا بجد لتحقيق الاستقلال. كانت هناك تحديات كبيرة، لكن الإرادة القوية فازت. هذا اليوم يذكرنا بالوحدة والقوة. في المدارس، يتعلم الأطفال تاريخ الاستقلال وأهميته. يحتفل الجميع في هذا اليوم بفرح. تقام الاحتفالات الوطنية في كل مكان. الأعلام ترفرف في الهواء. الناس يرتدون ملابس تقليدية جميلة. الأغاني الوطنية تُغنى بحماس. هذا اليوم يرمز للأمل والحرية. كل عام، نحتفل بهذا الحدث بفخر وسعادة. إنه يذكرنا بأهمية العمل الجماعي والشجاعة. الاستقلال هو جزء مهم من هويتنا الوطنية. يجعلنا نشعر بالفخر والانتماء لوطننا العزيز.
7_A2_6levels_p7	A2	في تاريخ بلدي، يُعتبر يوم الاستقلال حدثًا تاريخيًا مهمًا. هذا اليوم يحتفل فيه الشعب بالحرية والكرامة. بعد سنوات طويلة من النضال الشجاع، نجح الشعب في تحقيق هدفه. كان ذلك بفضل الجهود المشتركة والتعاون بين الأفراد الشجعان. الاستقلال يعني الحرية من السيطرة الأجنبية، وهو ما يمنح الشعب القدرة على تقرير مصيره بنفسه.  الحدث مهم لأنه يشكل بداية جديدة للبلد. في هذا اليوم، يشعر الجميع بالفخر والانتماء. ويحيي الشعب ذكرى الأبطال الذين ضحوا بحياتهم من أجل الوطن. يحتفل الناس في هذا اليوم بالمسيرات الكبيرة والأغاني الوطنية الجميلة. تُرفع الأعلام في كل مكان، وتُقام الاحتفالات في المدارس والجامعات لتعزيز الوعي الوطني.  بفضل الاستقلال، استطاع البلد بناء مؤسسات قوية وتحقيق التنمية الاقتصادية. استعاد الشعب هويته وتراثه الثقافي الغني. الأجيال الحالية تستفيد من الإنجازات الكبيرة التي تحققت، وتعمل على الحفاظ عليها. يوم الاستقلال يذكرنا بأهمية الوحدة والعمل الجماعي لتحقيق الأهداف الوطنية. هذا الحدث يعزز روح الوطنية ويدفع الشعب نحو مستقبل مشرق.
8_A1_6levels_p7	A1	في بلدي، يوجد تقليد جميل يسمى "القهوة العربية". القهوة العربية مشروب محبوب. الناس يشربونه في المناسبات المختلفة. القهوة تُعد بطريقة خاصة. تُستخدم حبوب البن الطازجة والماء. يُضاف الهيل لإعطاء نكهة مميزة. الناس يستمتعون بها في الصباح والمساء.  في المناسبات، تُقدم القهوة للضيوف. يُعتبر تقديم القهوة علامة على الكرم والضيافة. تستقبل العائلات الضيوف بالترحيب والابتسامة. ثم يقدمون لهم القهوة العربية. الضيوف يشعرون بالسعادة والامتنان.  القهوة العربية لها دور اجتماعي مهم. إنها تجمع الناس معًا. الحديث يصبح ممتعًا ومريحًا. الجميع يشعر بالراحة والسعادة. القهوة ليست مجرد مشروب، بل هي جزء من ثقافتنا وتاريخنا. نحبها ونفخر بها.
8_A2_6levels_p7	A2	في بلدي، يوجد تقليد ثقافي شهير يُسمى "الإحتفال بالعيد". هذا التقليد مميز ومفرح للجميع. في صباح العيد، يستيقظ الناس مبكرًا ويذهبون إلى المسجد لأداء الصلاة. ترتدي النساء والرجال ملابس جديدة وجميلة. الأطفال يشعرون بالسعادة لأنهم يحصلون على هدايا وألعاب. بعد الصلاة، يجتمع الأهل والأصدقاء لتناول وجبة إفطار لذيذة.  الطعام في العيد متنوع ولذيذ. الأمهات يحضرن أطباقًا تقليدية مثل الكبسة والحلويات. خلال اليوم، يزور الناس بعضهم البعض ويقدمون التهاني. الأطفال يلعبون مع أصدقائهم في الحي، ويستمتعون بالوقت الجميل. الأجواء تكون مليئة بالفرح والمحبة.   يعتبر العيد فرصة لتجديد الروابط الأسرية والاجتماعية. الجميع يشعر بالراحة والسعادة. في نهاية اليوم، يعود الجميع إلى منازلهم وهم يحملون ذكريات جميلة. العيد يعزز الترابط بين أفراد المجتمع ويجعلهم يشعرون بالانتماء. إن هذا التقليد يعكس قيم الاحترام والمحبة والتضامن بين الناس.
9_A1_6levels_p7	A1	الانتخابات مهمة في كل بلد. في بلدي، الانتخابات تعطي الناس فرصة للتعبير عن رأيهم. يمكن للناس اختيار من يحكمهم. هذا مهم لتحقيق العدل والشفافية. الانتخابات تساعد في تحسين النظام السياسي. الناس ينتخبون الرئيس والبرلمان. الرئيس هو الشخص الذي يدير شؤون البلد. البرلمان يقرر القوانين. في الانتخابات، يشارك المواطنون بصوتهم. يجب أن يكون الشخص عاقلًا ومسجلًا ليشارك. الانتخابات نزيهة وديمقراطية. تجرى في جو من الحرية والسلام. من المهم أن يكون هناك انتخابات منتظمة. الانتخابات تجعل الحكومة مسؤولة. المواطنون لهم دور كبير في التغيير. يمكنهم اختيار ممثلين جيدين. الانتخابات تعزز الوحدة والاستقرار. تساعد في بناء مستقبل أفضل. لذلك، يجب على الجميع المشاركة بفعالية.
9_A2_6levels_p7	A2	الانتخابات لها أهمية كبيرة في بلدي. هي تعبير حقيقي عن الديمقراطية. عندما نشارك في الانتخابات، نختار من يمثلنا في الحكومة. هذا يساعد في تحسين حياتنا. ننتخب الأشخاص الذين نثق بهم. هؤلاء الأشخاص يعملون من أجل مستقبل أفضل. في الانتخابات، نختار رئيس الدولة وأعضاء البرلمان. أيضاً نختار المسؤولين المحليين. الانتخابات تمنحنا فرصة للتغيير. هي وسيلة للتعبير عن رأينا. عندما نشارك، نصبح جزءًا من المجتمع. نؤثر في القرارات. لذلك، من المهم أن نشارك في الانتخابات. هذه المشاركة تعزز الديمقراطية. تجعل حكومتنا شفافة وعادلة. بدون انتخابات، لا يمكننا تحقيق التقدم. لذا، يجب علينا فهم أهمية الانتخابات. نختار بذكاء ونعمل من أجل مستقبل مشرق.
10_A1_6levels_p7	A1	الحكومة تؤثر على حياتي اليومية بطرق كثيرة. أحيانًا ألاحظ ذلك في المدرسة. الحكومة توفر معلمين جيدين ومباني جميلة. هذا يساعدني في التعلم بشكل أفضل. أيضًا، في الشارع، أرى الشرطة. هم يحافظون على الأمان. أشعر بالراحة عندما أراهم. الحكومة تهتم أيضًا بالصحة. المستشفيات نظيفة والأطباء مهتمون. عندما أمرض، أذهب هناك. كذلك، الحكومة تهتم بالنقل. الحافلات جديدة ومريحة. أستخدمها للذهاب إلى المدرسة. في البيت، الكهرباء والماء متوفران. الحكومة تضمن ذلك. هذا يجعل حياتي سهلة. الحكومة تجعل الحياة أفضل. أقدر جهودهم في كل يوم.
10_A2_6levels_p7	A2	الحكومة تلعب دورًا مهمًا في حياتنا اليومية. هي تعمل على تحسين الخدمات العامة مثل التعليم والصحة والنقل. عندما نذهب إلى المدرسة، نجد المباني نظيفة والكتب متوفرة. أيضًا، في المستشفيات، الأطباء المهرة والممرضات الطيبات يساعدون المرضى. الطرق الجيدة تجعل السفر أسهل وأسرع.   الحكومة أيضًا تهتم بالنظام والأمان في المجتمع. الشرطة تحافظ على الأمن وتساعد في حل المشكلات. في الحديقة العامة، نجد الألعاب الجميلة والأشجار الخضراء بفضل جهود البلدية.   مثال على تأثير الحكومة هو دعمها للطلاب من خلال توفير المنح الدراسية. هذا يساعد الطلاب الموهوبين على مواصلة تعليمهم. مثل هذه المبادرات تحسن من مستوى الحياة وتزيد من فرص النجاح.  في الختام، الحكومة تؤثر بشكل كبير على حياتنا من خلال تحسين الخدمات وتوفير الأمان. هي تسعى لجعل الحياة أفضل للجميع.
11_A1_6levels_p7	A1	في بلدي، قضية الفقر تعد قضية اجتماعية مهمة. يعيش الكثير من الناس في ظروف صعبة. هؤلاء الناس يواجهون مشاكل كبيرة. لا يستطيعون الحصول على طعام كافٍ أو مسكن مناسب. الأطفال لا يذهبون إلى المدرسة بشكل دائم. هذا يؤثر على مستقبلهم. الفقر يمنعهم من الوصول إلى الرعاية الصحية الجيدة. بعض العائلات تعيش في أماكن غير صحية. هذه المشكلة تؤثر على المجتمع بأكمله. يجب علينا العمل معًا لحل هذه المشكلة. نحتاج إلى دعم الفقراء ومساعدتهم. هذا يساعد في تحسين حياتهم. المجتمع يتقدم عندما يعيش الجميع حياة كريمة. من المهم أن نكون متكاتفين. الفقر قضية تحتاج إلى اهتمام الجميع. يجب أن نعمل بجد لتحقيق التغيير.
11_A2_6levels_p7	A2	في بلدي، تعد البطالة قضية اجتماعية مهمة. البطالة تعني عدم وجود عمل للعديد من الأشخاص. هذا يؤثر بشكل كبير على المجتمع. الأشخاص الذين لا يعملون يشعرون بالإحباط والقلق. كما أن البطالة تؤدي إلى الفقر في الأسر. الأسر الفقيرة تعاني من نقص الطعام والملابس والتعليم. الأطفال في هذه الأسر لا يحصلون على التعليم الجيد. بدون تعليم، يصعب عليهم الحصول على وظائف في المستقبل. البطالة أيضًا تؤثر على الاقتصاد. عندما لا يعمل الكثير من الناس، ينخفض الإنتاج. هذا يؤدي إلى انخفاض الدخل القومي. البطالة مشكلة تحتاج إلى حلول فعالة. الحكومة يمكن أن تساعد من خلال خلق فرص عمل جديدة. الشركات أيضًا يمكنها تقديم فرص عمل للشباب. التعليم الجيد والتدريب المهني يمكن أن يساعدان في تقليل المشكلة. إذا عمل الجميع معًا، يمكننا التغلب على هذه القضية وتحقيق مجتمع أفضل. الثقة والعمل الجاد هما المفتاح لتحقيق التغيير الإيجابي.
12_A1_6levels_p7	A1	نعيش في مجتمع يحتاج إلى التعاون والمساعدة. يمكننا أن نساعد الآخرين بطرق بسيطة وفعّالة. من المهم أن نكون لطفاء مع بعضنا البعض. عندما نرى شخصًا يحتاج إلى مساعدة، يمكننا أن نعرض مساعدتنا بابتسامة ودودة.   في المدرسة، يمكننا مساعدة زملائنا في دروسهم. إذا كان أحدهم يعاني من صعوبة في مادة معينة، يمكننا أن نشرح له بطريقة بسيطة. هذا يجعلنا أصدقاء جيدين.  في الحي، يمكننا مساعدة الجيران. إذا رأينا شخصًا كبيرًا في السن يحمل أشياء ثقيلة، يمكننا مساعدته. هذا يظهر أننا مجتمع متعاون وطيب.  عند زيارتنا لأماكن عامة، يمكننا المحافظة على النظافة. هذا يجعل المكان جميلًا للجميع. يمكننا أيضًا التبرع بالملابس القديمة أو الكتب لجمعيات خيرية.   في النهاية، مساعدة الآخرين تجعلنا نشعر بالسعادة والرضا. عندما نساعد، نبني مجتمعًا قويًا ومترابطًا. كل شخص يمكنه أن يساهم بطريقته الخاصة. هكذا نصنع فرقًا في حياتنا وحياة الآخرين.
12_A2_6levels_p7	A2	في مجتمعنا، مساعدة الآخرين مهمة جدًا. يمكن أن تجعل حياتنا أكثر سعادة وراحة. هناك طرق عديدة لمساعدة الآخرين. أولاً، يمكننا أن نبدأ بالاستماع الجيد. عندما نستمع إلى الآخرين، نشعر بما يحتاجونه. يمكن أن نقدم نصائح مفيدة أو نشارك حكايات تشجيعية. ثانياً، يمكننا أن نقدم المساعدة العملية. على سبيل المثال، إذا كان أحد الجيران مريضًا، يمكننا أن نشتري له بعض الحاجات الضرورية. هذا يظهر اللطف والاهتمام.  أيضًا، يمكننا أن نشارك في الأعمال التطوعية. هناك جمعيات خيرية تقدم المساعدة للمحتاجين. عندما نشارك في هذه الأنشطة، نحن نساهم في تحسين المجتمع. يمكننا أيضًا تعليم الآخرين ما نعرفه. هذا يمنحهم فرصة لتعلم مهارات جديدة والتطور. التعليم هو أداة قوية للتغيير.  في النهاية، مساعدة الآخرين تعزز الروابط بين الناس. تجعل المجتمع أكثر تعاونًا وتضامنًا. عندما نتعاون، نصبح أقوى وأكثر نجاحًا. لذا، دعونا نبدأ بمساعدة بعضنا البعض لبناء مجتمع أفضل.
13_A1_6levels_p7	A1	موضوعي المفضل في المدرسة هو الرياضيات. أحب الرياضيات لأنها ممتعة ومفيدة. الأرقام مثيرة وتجعلني أفكر بعمق. المعلم لطيف وذكي، يشرح الدروس بوضوح. أحب حل المسائل لأنها تشعرني بالإنجاز. الأصدقاء في الصف يحبون الرياضيات أيضًا. نتعاون معًا لحل المسائل الصعبة. أحب الألغاز في الرياضيات، تجعلني أشعر بالتحدي. الرياضيات تساعدني في الحياة اليومية، مثل الحسابات في التسوق. أريد أن أكون مهندسًا في المستقبل، والرياضيات مهمة لذلك. أشعر بالسعادة عندما أفهم درسًا جديدًا. الرياضيات تجعلني واثقًا وقويًا في المدرسة.
13_A2_6levels_p7	A2	في المدرسة، أحب مادة الرياضيات كثيرًا لأنها مادة ممتعة ومفيدة. الأرقام والمعادلات تجذبني لأنها تشبه الألغاز. أحب حل المسائل الرياضية لأنها تجعل عقلي يعمل بجد. المعلم في هذه المادة رائع وصبور، ويشرح الدروس بطريقة واضحة. أستمتع بالدرس عندما يكون المعلم مبتسمًا وداعمًا لنا. الرياضيات تساعدني في تحسين التفكير المنطقي وحل المشكلات اليومية. عندما أنجح في حل مسألة صعبة، أشعر بالإنجاز والسعادة. كذلك، الرياضيات مهمة في الحياة العملية، حيث نستخدمها في حساب المال والتخطيط للمستقبل. أحب أن أتعلم أشياء جديدة في الرياضيات لأنها توسع معرفتي وتحسن من مهاراتي العقلية. في النهاية، الرياضيات هي موضوعي المفضل لأنها تجمع بين التحدي والفائدة والمتعة.
14_A1_6levels_p7	A1	أفضل الدروس النظرية لأنها تساعدني في الفهم العميق. الدروس النظرية ممتعة لأنها تشرح المفاهيم بوضوح. المعلم الجيد يجعل الدروس النظرية مفيدة وسهلة. أحب القراءة والكتابة، وهذا يساعدني في التعلم. في الدروس النظرية، أتعلم عن التاريخ والعلوم بشكل مثير. الكتب الكبيرة مليئة بالمعلومات القيمة. أحيانًا، أحتاج إلى التركيز والهدوء لفهم الدروس. التطبيقات العملية مفيدة أيضًا، لكنها تتطلب جهدًا أكبر. أحب التفكير الهادئ قبل العمل. في النهاية، أجد الدروس النظرية أكثر فائدة لي لأنها تعزز المعرفة وتفتح الأفق.
14_A2_6levels_p7	A2	أحب التعلم لأنه يفتح الأفق ويوسع المعرفة. بالنسبة لي، أفضّل التطبيقات العملية على الدروس النظرية. التطبيقات العملية مثيرة ومفيدة. عندما أتعلم عبر التجربة، أفهم بشكل أعمق. الدروس النظرية قد تكون مملة أحيانًا، لأنها تعتمد على القراءة فقط. بينما في التطبيقات العملية، أستخدم يديّ وعقلي. هذا يساعدني في تذكر المعلومات بشكل أفضل.  التطبيقات العملية تجعل التعلم ممتعًا وحيويًا. أستطيع أن أرى النتائج بشكل فوري وهذا يشجعني. عندما أجرّب بنفسي، أشعر بالإنجاز. على سبيل المثال، في مادة العلوم، أحب إجراء التجارب لأنها تتيح لي رؤية المفاهيم بشكل واقعي. أحب أيضًا العمل في مجموعات أثناء التطبيقات العملية. هذا يعزز التواصل والتعاون بين الطلاب.  لكن، لا يمكنني نفي أهمية الدروس النظرية تمامًا. فهي توفر الأساسيات والمفاهيم. ومع ذلك، أعتقد أن الجمع بين النظري والعملي هو الأفضل. هذا يضمن فهمًا شاملاً للمادة. في النهاية، أرى أن التطبيقات العملية تقدم لي فرصة للإبداع والتفكير النقدي. هذا يجعلني أشعر بالتحفيز والرغبة في التعلم المستمر.
15_A1_6levels_p7	A1	أنا أحب طريقة التعليم في بلدي. التعليم في بلدي جيد ومفيد. المدرسون لطفاء وصبورون. المدرسة نظيفة وآمنة. في الصفوف، نتعلم مواد متنوعة مثل الرياضيات والعلوم واللغة العربية. الفصول صغيرة ومريحة. الكتب المدرسية جديدة وملونة. الطلاب يحبون القراءة والتعلم. المدرسون يشرحون الدروس بوضوح. نستخدم الحاسوب والتكنولوجيا الحديثة. هذا يجعل التعلم ممتعًا وسهلًا. الأصدقاء في المدرسة طيبون ومساعدون. نحن نلعب معًا في الفناء. النشاطات الرياضية ممتعة وصحية. أنا أحب المدرسة لأنني أتعلم كل يوم شيئًا جديدًا. التعليم في بلدي يدعم الطلاب بشكل جيد. أشعر بالسعادة في المدرسة.
